STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-05-2019,40,2019-20
Alaska,http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx%20,"Influenza Surveillance Report",Sporadic,Oct-05-2019,40,2019-20
Arizona,http://www.azdhs.gov/phs/oids/epi/flu/index.htm,"Influenza & RSV Surveillance",Sporadic,Oct-05-2019,40,2019-20
Arkansas,http://www.healthy.arkansas.gov/programs-services/topics/influenza,"Communicable Disease and Immunizations",Sporadic,Oct-05-2019,40,2019-20
California,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx,"Influenza (Flu)",Sporadic,Oct-05-2019,40,2019-20
Colorado,https://www.colorado.gov/pacific/cdphe/influenza,"Influenza Surveillance",Sporadic,Oct-05-2019,40,2019-20
Connecticut,https://portal.ct.gov/DPH/Epidemiology-and-Emerging-Infections/Influenza-Surveillance-and-Statistics,"Flu Statistics",Sporadic,Oct-05-2019,40,2019-20
Delaware,http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html,"Weekly Influenza Surveillance Reports",Sporadic,Oct-05-2019,40,2019-20
District of Columbia,https://dchealth.dc.gov/flu%20,"Influenza Information",Sporadic,Oct-05-2019,40,2019-20
Florida,http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html%20,"Weekly Influenza Surveillance Reports",Sporadic,Oct-05-2019,40,2019-20
Georgia,https://dph.georgia.gov/flu-activity-georgia,"Weekly Influenza Surveillance in Georgia",Sporadic,Oct-05-2019,40,2019-20
Hawaii,http://health.hawaii.gov/docd/resources/reports/influenza-reports/,"Hawaii's Influenza Surveillance Program",Sporadic,Oct-05-2019,40,2019-20
Idaho,http://flu.idaho.gov,"Influenza",Sporadic,Oct-05-2019,40,2019-20
Illinois,http://www.dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance,"Seasonal Influenza Surveillance Reports",No Activity,Oct-05-2019,40,2019-20
Indiana,http://www.in.gov/isdh/22104.htm,"Influenza in Indiana",Sporadic,Oct-05-2019,40,2019-20
Iowa,http://idph.iowa.gov/influenza/surveillance,"Iowa Influenza Surveillance Network",Sporadic,Oct-05-2019,40,2019-20
Kansas,http://www.kdheks.gov/flu/surveillance.htm,"Influenza Information",No Activity,Oct-05-2019,40,2019-20
Kentucky,https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx,"Influenza - Flu",Local Activity,Oct-05-2019,40,2019-20
Louisiana,http://new.dhh.louisiana.gov/index.cfm/page/1591,"Influenza",Local Activity,Oct-05-2019,40,2019-20
Maine,http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml,"Weekly Surveillance Updates",Sporadic,Oct-05-2019,40,2019-20
Maryland,https://phpa.health.maryland.gov/influenza/fluwatch,"Influenza Surveillance",Sporadic,Oct-05-2019,40,2019-20
Massachusetts,https://www.mass.gov/influenza,"Influenza Surveillance Data",Sporadic,Oct-05-2019,40,2019-20
Michigan,http://www.michigan.gov/mdch/0%252c1607%252c7-132-2940_2955_22779_40563_48357-191722--%252c00.html,"Influenza Activity and Surveillance",Sporadic,Oct-05-2019,40,2019-20
Minnesota,http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html,"Weekly Influenza Activity: Statistics",Sporadic,Oct-05-2019,40,2019-20
Mississippi,http://www.msdh.state.ms.us/msdhsite/_static/14%252c0%252c199%252c230.html,"Mississippi Flu Surveillance and Influenza-Like Illness Reports",No Activity,Oct-05-2019,40,2019-20
Missouri,http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php,"Influenza Data & Statistical Reports ",Sporadic,Oct-05-2019,40,2019-20
Montana,http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx,"Influenza: What You Need to Know",Sporadic,Oct-05-2019,40,2019-20
Nebraska,http://dhhs.ne.gov/Pages/Flu.aspx%20,"Weekly Flu Report",No Activity,Oct-05-2019,40,2019-20
Nevada,http://dpbh.nv.gov/Programs/Flu/Influenza/%20,"Influenza (Flu): Surveillance, News Releases and Brochures",Local Activity,Oct-05-2019,40,2019-20
New Hampshire,http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm,"Influenza Control and Surveillance",No Activity,Oct-05-2019,40,2019-20
New Jersey,http://www.nj.gov/health/cd/topics/flu.shtml,"Seasonal Influenza - Surveillance",Sporadic,Oct-05-2019,40,2019-20
New Mexico,https://nmhealth.org/about/erd/ideb/isp/,"Flu in New Mexico",Sporadic,Oct-05-2019,40,2019-20
New York,http://www.health.ny.gov/diseases/communicable/influenza/surveillance/,"Influenza Activity, Surveillance and Reports",Sporadic,Oct-05-2019,40,2019-20
North Carolina,http://www.flu.nc.gov/%20,"North Carolina Influenza Update",Sporadic,Oct-05-2019,40,2019-20
North Dakota,http://www.ndflu.com/default.aspx,"Influenza",Sporadic,Oct-05-2019,40,2019-20
Ohio,http://www.flu.ohio.gov%20,"Influenza Information",Sporadic,Oct-05-2019,40,2019-20
Oklahoma,https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html,"Influenza Information",Sporadic,Oct-05-2019,40,2019-20
Oregon,http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx,"Influenza Disease Surveillance Data",Sporadic,Oct-05-2019,40,2019-20
Pennsylvania,https://www.health.pa.gov/topics/disease/Flu/Pages/Flu.aspx%20,"Influenza Weekly Report ",Sporadic,Oct-05-2019,40,2019-20
Rhode Island,http://www.health.ri.gov/data/flu/index.php,"Influenza Surveillance",No Activity,Oct-05-2019,40,2019-20
South Carolina,http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/,"Influenza Activity and Surveillance",Sporadic,Oct-05-2019,40,2019-20
South Dakota,http://doh.sd.gov/diseases/infectious/flu/default.aspx,"Influenza Information",Sporadic,Oct-05-2019,40,2019-20
Tennessee,http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html,"Influenza-Like Illness Surveillance Summary Archive",Sporadic,Oct-05-2019,40,2019-20
